,Date,PnL,Capital
265,2018-03-26,-653716.5400000003,300000000
266,2018-03-27,2685583.650000002,300000000
267,2018-03-28,4326977.59,300000000
268,2018-03-29,3432047.8499999978,300000000
269,2018-04-02,-1769071.800000001,300000000
270,2018-04-03,1172489.3100000003,300000000
271,2018-04-04,2203922.829999997,300000000
272,2018-04-05,-1193913.1899999992,300000000
273,2018-04-06,-1748917.769999999,300000000
274,2018-04-09,-3501945.319999998,300000000
275,2018-04-10,2455671.129999999,300000000
276,2018-04-11,443657.90000000136,300000000
277,2018-04-12,-1542594.53,300000000
278,2018-04-13,-1251731.0100000002,300000000
279,2018-04-16,319296.57999999804,300000000
280,2018-04-17,-3782.1300000043993,300000000
281,2018-04-18,-637791.1600000001,300000000
282,2018-04-19,-2776498.239999999,300000000
283,2018-04-20,-1173833.160000001,300000000
284,2018-04-23,1354830.3499999999,300000000
285,2018-04-24,606549.6599999983,300000000
286,2018-04-25,166635.01000000007,300000000
287,2018-04-26,1779470.0099999998,300000000
288,2018-04-27,-1379533.16,300000000
289,2018-04-30,1200511.8199999952,300000000
290,2018-05-01,1705476.779999998,300000000
291,2018-05-02,-538880.5000000008,300000000
292,2018-05-03,217276.9299999981,300000000
293,2018-05-04,1717065.3300000024,300000000
294,2018-05-07,-1169490.890000002,300000000
295,2018-05-08,-130113.0500000027,300000000
296,2018-05-09,2411757.5300000003,300000000
297,2018-05-10,2132999.8199999984,300000000
298,2018-05-11,1855066.2000000002,300000000
299,2018-05-14,-346621.10000000003,300000000
300,2018-05-15,-3526938.69,300000000
301,2018-05-16,-1674343.6499999992,300000000
302,2018-05-17,-4971219.89,300000000
303,2018-05-18,-750810.9700000001,300000000
304,2018-05-21,425036.93000000046,300000000
305,2018-05-22,1200587.399999998,300000000
306,2018-05-23,2826.090000001013,300000000
307,2018-05-24,-59523.0599999999,300000000
308,2018-05-25,97912.71999999983,300000000
309,2018-05-29,-1845451.4500000007,300000000
310,2018-05-30,-2228634.8499999987,300000000
311,2018-05-31,40779.97999999641,300000000
312,2018-06-01,-852416.1299999991,300000000
313,2018-06-04,-2150970.260000001,300000000
314,2018-06-05,521365.3099999996,300000000
315,2018-06-06,743038.8799999977,300000000
316,2018-06-07,-189813.53999999925,300000000
317,2018-06-08,-1811663.23,300000000
318,2018-06-11,-210286.68000000075,300000000
319,2018-06-12,-448513.8999999978,300000000
320,2018-06-13,-313247.03999999806,300000000
321,2018-06-14,1003999.96,300000000
322,2018-06-15,113289.56999999925,300000000
323,2018-06-18,-2128552.490000001,300000000
324,2018-06-19,-7058831.42,300000000
325,2018-06-20,-680401.72,300000000
326,2018-06-21,-4048053.839999997,300000000
327,2018-06-22,2458054.69,225000000
328,2018-06-25,-485954.89000000147,225000000
329,2018-06-26,968105.2199999996,225000000
330,2018-06-27,51373.54999999967,225000000
331,2018-06-28,-729957.7299999994,225000000
332,2018-06-29,1866487.11,225000000
333,2018-07-02,778227.7300000024,225000000
334,2018-07-03,-470619.5700000006,225000000
335,2018-07-05,1658658.9800000002,225000000
336,2018-07-06,225419.05,225000000
337,2018-07-09,853370.1899999998,225000000
338,2018-07-10,2359086.1199999987,225000000
339,2018-07-11,-3251.7100000002347,225000000
340,2018-07-12,-828482.4500000002,225000000
341,2018-07-13,482124.40999999986,225000000
342,2018-07-16,212728.31999999983,225000000
343,2018-07-17,-118563.44000000056,225000000
344,2018-07-18,-389632.7599999998,225000000
345,2018-07-19,-292315.7400000002,225000000
346,2018-07-20,-236574.809999997,225000000
347,2018-07-23,176180.0699999982,225000000
348,2018-07-24,1149094.43,225000000
349,2018-07-25,-2087777.8699999978,225000000
350,2018-07-26,-663677.6600000001,225000000
351,2018-07-27,378890.5500000014,225000000
352,2018-07-30,-878823.2499999985,225000000
353,2018-07-31,-708914.440000001,225000000
354,2018-08-01,-1381300.339999998,225000000
355,2018-08-02,-688126.8400000004,225000000
356,2018-08-03,-1082547.4300000018,225000000
357,2018-08-06,-1942483.2600000002,225000000
358,2018-08-07,389156.0599999997,225000000
359,2018-08-08,815978.1699999999,225000000
360,2018-08-09,-742094.9699999982,225000000
361,2018-08-10,122271.72999999792,225000000
362,2018-08-13,-1740641.9900000002,225000000
363,2018-08-14,-866980.5899999997,225000000
364,2018-08-15,-2112527.9400000004,225000000
365,2018-08-16,1485621.0399999977,225000000
366,2018-08-17,-3213827.0299999984,225000000
367,2018-08-20,910969.8799999997,225000000
368,2018-08-21,1384338.020000001,225000000
369,2018-08-22,-1354440.780000001,225000000
370,2018-08-23,-1817579.469999999,225000000
371,2018-08-24,590814.9700000002,225000000
372,2018-08-27,1726053.479999998,225000000
373,2018-08-28,4657965.920000003,225000000
374,2018-08-29,-268082.0599999958,225000000
375,2018-08-30,-955170.870000001,225000000
376,2018-08-31,344318.85,225000000
377,2018-09-03,-103571.50999999979,225000000
378,2018-09-04,-1688804.489999999,225000000
379,2018-09-05,1319324.799999999,225000000
380,2018-09-06,-3072967.15,225000000
381,2018-09-07,-760502.3500000002,225000000
382,2018-09-10,-1368155.3900000006,225000000
383,2018-09-11,-1110016.519999998,225000000
384,2018-09-12,1288721.029999998,225000000
385,2018-09-13,201221.06999999983,225000000
386,2018-09-14,788094.6900000001,225000000
387,2018-09-17,1486885.079999998,225000000
